Brand,Brand2,Model,Price,Rating,Reviews,Size,Width,Height,HDMI,VGA,USB,Description
ASUS,ASUS, TUF Gaming VG32VQ1B ,9318.0,4.0,9,31.5,2560 , 1440,Yes,No,No,"ASUS TUF Gaming VG32VQ1B 31.5"" Curved Monitor, WQHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms MPRT, FreeSync Premium/Adaptive-sync, Extreme Low Motion Blur, HDR10, 2 x HDMI, DisplayPort"
BenQ,BenQ, ZOWIE XL2540 ,9082.0,4.0,8,25.0,,,No,No,No,"BenQ ZOWIE XL2540 25"" (Actual size 24.5"") 1080p 1ms(GTG) 240Hz eSports Gaming Monitor, G-Sync Compatible, FreeSync, S-Switch, Shield, Black eQualizer, Color Vibrance, Height Adjustable, VESA Ready"
,Nixeus, EDG ,3544.0,4.0,7,24.0,1920 , 1080,No,No,No,Nixeus EDG 24” 1920 x 1080 AMD Radeon FreeSync™ Certified 144Hz Gaming Monitor with Base Tilt Only Stand (NX-EDG24S)
SAMSUNG,SAMSUNG, LC27G75TQSNXZA ,14780.0,4.0,6,27.0,2560 , 1440,Yes,No,No,"SAMSUNG LC27G75TQSNXZA 27"" Quad HD 2560 x 1440 2K 240Hz 1ms 2 x DisplayPort, HDMI G-Sync Compatible Flicker-Free Backlit LED Curved Gaming Monitor"
SAMSUNG,Samsung, CRG5 LC27RG50FQNXZA ,8413.0,4.0,4,27.0,1920 , 1080,Yes,No,No,"Samsung CRG5 LC27RG50FQNXZA 27"" 1920 x 1080 240Hz Rapid Curve 4ms 2x HDMI, DisplayPort NVIDIA G-SYNC Compatible Curved Gaming Monitor"
ASUS,ASUS, TUF Gaming VG27VH1B ,6146.0,4.0,3,27.0,,,Yes,No,No,"ASUS TUF Gaming VG27VH1B 27"" Curved Monitor, 1080P Full HD, 165Hz (Supports 144Hz), Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, 1ms MPRT, Eye Care, HDMI D-Sub"
SAMSUNG,Samsung, UE850 LU28E85KRS/GO ,8947.0,5.0,7,28.0,,,No,No,No,"Samsung UE850 LU28E85KRS/GO 28"" Screen LED-Lit Monitor"
SAMSUNG,SAMSUNG, G7 LC32T550FDNXZA ,6194.0,3.0,2,32.0,1920 , 1080,Yes,Yes,No,"SAMSUNG G7 LC32T550FDNXZA 32"" (Actual size 31.5"") Full HD 1920 x 1080 75 Hz VGA, HDMI, DisplayPort FreeSync (AMD Adaptive Sync) Curved Gaming Monitor"
ViewSonic,ViewSonic, VX3211-4K-MHD ,9318.0,5.0,1,32.0,3840 , 2160,Yes,No,No,"ViewSonic VX3211-4K-MHD 32"" Ultra HD 3840 x 2160 4K 2xHDMI DisplayPort Built-in Speakers AMD FreeSync Technology Blue Light Filter Flicker-Free HDR10 Compatible Backlit LED Gaming Monitor"
AOpen,Aopen, Gaming Series 24HC1QR Pbidpx ,4207.0,4.0,17,23.6,1920 , 1080,Yes,No,No,"Aopen Gaming Series 24HC1QR Pbidpx 23.6"" Black VA Curved 1800R FreeSync 144Hz LED Monitor 1920 x 1080 Widescreen 16:9 4ms Response Time 250 cd/m2 1000:1 DVI, HDMI, DisplayPort"
BenQ,BenQ, EX2780Q ,12326.0,4.0,10,27.0,2560 , 1440,Yes,No,Yes,"BenQ EX2780Q 27"" Quad HD 2560 x 1440 2K Resolution 5ms (GTG) 144Hz 2 x HDMI, DisplayPort USB Type-C AMD FreeSync Flicker-Free Low Blue Light Built-in Speakers LED Backlit IPS Gaming Monitor"
